Type,Family,Model Name,Input Size,Accuracy,Max BS,Optimal BS,Throughput,Latency,Energy,param_count,params_tinfo,macs_tinfo,params_ptflops,macs_ptflops,activations,DONE
TBD,TBD,gernet_l.idstcv_in1k,256,81.374,156,144,1530.884002,94063442.03,213315.1981,31.08,31078280,4557042664,31078280,4571509736,55039904,TRUE
TBD,TBD,gernet_m.idstcv_in1k,224,80.726,240,176,2240.889595,78540402.03,146138.3251,21.14,21142920,3004509544,21142920,3013829736,36373024,TRUE
TBD,TBD,gernet_s.idstcv_in1k,224,76.902,466,416,5764.349791,72167833.12,56994.25618,8.17,8173761,744138504,8173761,749025960,18509376,TRUE
TBD,TBD,ghostnet_100.in1k,224,73.96,242,240,4896.507355,49014569.11,67714.00483,5.18,5182508,141177764,5182508,151840388,17928264,TRUE
TBD,TBD,ghostnetv2_100.in1k,224,75.176,162,156,3253.281073,47951661.17,100955.6699,6.16,6156908,167115956,6156908,180109952,20610056,TRUE
TBD,TBD,ghostnetv2_130.in1k,224,76.762,124,96,2349.71276,41202105.01,140953.2062,8.96,8960404,269410204,8960404,286627240,26700288,TRUE
TBD,TBD,ghostnetv2_160.in1k,224,77.836,90,98,2015.187669,48630808.46,164006.7873,12.39,12392698,398714176,12392698,420088220,32725652,TRUE
TBD,TBD,gmixer_24_224.ra3_in1k,224,78.048,82,82,877.0807367,93493666.83,378739.0235,24.72,24721096,82303816,24721096,5283957736,47159120,TRUE
TBD,TBD,gmlp_s16_224.ra3_in1k,224,79.644,68,64,873.7964822,73244985.02,380265.2036,19.42,19422656,57811136,19422656,4431299560,54443216,TRUE
TBD,TBD,halo2botnet50ts_256.a1h_in1k,256,82.084,44,8,550.7224401,14526992.01,602388.0043,22.64,22635360,4781589480,22635360,4794532840,116871072,TRUE
TBD,TBD,halonet26t.a1h_in1k,256,79.134,62,56,996.9438331,59947474.71,356914.4604,12.48,12480288,3129033704,12480288,3148497896,75493280,TRUE
TBD,TBD,halonet50ts.a1h_in1k,256,81.65,26,24,497.7838994,50880776.27,712404.5033,22.73,22733280,5108745192,22733280,5124572136,119003040,TRUE
TBD,TBD,haloregnetz_b.ra3_in1k,224,81.052,36,36,771.9106561,49848140.07,465841.4355,11.68,11680072,1864728768,11680072,1873807728,63754128,TRUE
TBD,TBD,hardcorenas_a.miil_green_in1k,224,75.926,118,96,3243.204062,31503786.87,110424.8523,5.26,5260232,224235240,5260232,227578736,21674128,TRUE
TBD,TBD,hardcorenas_b.miil_green_in1k,224,76.552,108,104,2980.839713,37009832.32,119501.9871,5.18,5176544,251837440,5176544,256083320,25499328,TRUE
TBD,TBD,hardcorenas_c.miil_green_in1k,224,77.094,104,104,2787.973851,40089823.86,129618.9599,5.52,5521224,270064976,5521224,273784488,25034464,TRUE
TBD,TBD,hardcorenas_d.miil_green_in1k,224,77.45,100,96,2732.260346,37274649.2,128335.693,7.5,7500208,287798584,7500208,291269024,24566576,TRUE
TBD,TBD,hardcorenas_e.miil_green_in1k,224,77.79,88,88,2293.344174,41036715.11,155321.3037,8.07,8070992,338701600,8070992,343238600,28005376,TRUE
TBD,TBD,hardcorenas_f.miil_green_in1k,224,78.108,88,88,2485.305572,36857382.11,139661.6389,8.2,8199688,341918000,8199688,345828008,27535904,TRUE
TBD,TBD,hgnet_base.ssld_in1k,288,85.472,14,13,151.9632485,90450725.56,2284881.987,71.58,71578184,41500104808,71578184,41612192424,154462520,TRUE
TBD,TBD,hgnet_base.ssld_in1k,224,84.912,28,22,260.7105736,88174470.67,1314182.425,71.58,71578184,25109618792,71578184,25177408168,93452600,TRUE
TBD,TBD,hgnet_small.paddle_in1k,288,82.214,32,32,395.4213388,85401186.13,852732.2875,24.36,24360872,14060902888,24360872,14125893352,89960184,TRUE
TBD,TBD,hgnet_small.paddle_in1k,224,81.426,44,44,674.6841532,68689004.58,505410.0971,24.36,24360872,8508635624,24360872,8547944168,54429432,TRUE
TBD,TBD,hgnet_small.ssld_in1k,288,84.378,26,20,351.3442524,60699608.51,948582.8861,24.36,24360872,14060902888,24360872,14125893352,89960184,TRUE
