Type,Family,Model Name,Input Size,Accuracy,Max BS,Optimal BS,Throughput,Latency,Energy,param_count,params_tinfo,macs_tinfo,params_ptflops,macs_ptflops,activations,DONE
TBD,TBD,dla102x,224,78.156,8,8,7.6452469,130764185.9,321571.7376,26.309272,26309272,5848025704,26309272,5929219048,74592696,TRUE
TBD,TBD,dla102x2,224,79.448,8,8,4.96322786,201425172.9,437562.3264,41.2822,41282200,9284128360,41282200,9407218664,106053048,TRUE
TBD,TBD,dpn131,224,79.836,8,8,3.6794315,271714165.5,682416.1533,79.031144,79031144,16013649896,79254504,16094771944,200614712,TRUE
TBD,TBD,efficientnet_b1_pruned,240,78.252,8,8,32.0346442,31207963.03,84701.55502,6.28787,6287870,315321938,6331916,304014447,24672902,TRUE
TBD,TBD,efficientnet_b2_pruned,260,79.904,8,8,22.67267,44096010.44,112754.9402,8.253583,8253583,463862455,8309737,452731697,29804833,TRUE
TBD,TBD,efficientnet_b3_pruned,300,80.864,8,8,22.232994,44967346.15,120395.691,9.793178,9793178,524782370,9855020,511372407,30293139,TRUE
TBD,TBD,efficientnet_el_pruned,300,80.284,8,8,8.505922,117533250.9,262133.1444,10.497504,10497504,4354192104,10589712,4384285160,81501448,TRUE
TBD,TBD,efficientnet_es_pruned,224,75.01,8,8,16.3292379,61222595.84,131889.7632,5.386952,5386952,1788732008,5438392,1804549992,42018832,TRUE
TBD,TBD,efficientnetv2_rw_m,320,84.296,8,8,6.36593326,157051496.9,346186.7746,52.92921,52929210,6193442730,53236442,6213137780,112105188,TRUE
TBD,TBD,ese_vovnet19b_dw,288,77.788,8,8,17.06386042,58588879.75,132495.6436,6.531944,6531944,1333493384,6543080,1347329416,38782560,TRUE
TBD,TBD,ecaresnet26t,256,78.894,8,8,16.984459,58864152.79,152451.9006,16.011916,16011916,2550364888,16011916,2584152552,34770384,TRUE
TBD,TBD,ecaresnet50d,224,80.634,8,8,12.36346709,80858592.84,194542.8032,25.57635,25576350,4328966888,25576350,4378186472,52647888,TRUE
TBD,TBD,ecaresnet50d_pruned,224,79.714,8,8,16.096826,62109494.02,162134.2473,19.939713,19939713,2519917801,19939713,2545110813,26514967,TRUE
TBD,TBD,ecaresnet50t,224,81.282,8,8,11.724486,85269786.1,196544.5157,25.573814,25573814,4297355992,25573814,4346174184,52346832,TRUE
TBD,TBD,ecaresnet101d,224,82.18,8,8,6.967543,143478543.2,286022.3164,44.568563,44568563,8041327336,44568563,8110966504,76566480,TRUE
TBD,TBD,ecaresnet101d_pruned,224,80.81,8,8,15.466873,64637468.54,169846.9162,24.87604,24876040,3461081009,24876040,3491301475,31538273,TRUE
TBD,TBD,ecaresnet269d,320,84.724,8,8,3.32198063,300949768.2,724508.7941,102.093077,102093077,20270234344,102093077,20435461864,188356560,TRUE
TBD,TBD,ecaresnetlight,224,80.454,8,8,12.7187133,78599298.25,174147.0414,30.162046,30162046,4089350760,30162046,4124511976,36798416,TRUE
TBD,TBD,fbnetv3_b,224,78.184,8,8,26.297357,38016220.72,105357.8586,8.552064,8552064,407518416,8598464,405665128,32958056,TRUE
TBD,TBD,fbnetv3_d,224,78.658,8,8,22.03343186,45374830.14,125908.9551,10.249664,10249664,501983168,10306272,500139288,39894624,TRUE
TBD,TBD,fbnetv3_g,240,81.246,8,8,16.35625812,61120962.3,168223.7342,16.533024,16533024,1045095120,16623888,1043279464,60485704,TRUE
TBD,TBD,gc_efficientnetv2_rw_t,224,81.276,8,8,14.3904721,69471421.49,169628.6423,13.558689,13558689,1915518342,13677713,1924392580,48538602,TRUE
